"ComponentIndex","Cosine","DeltaMZ","EdgeAnnotation","EdgeType","interaction","MEH","name","OtherScore","selected","shared interaction","shared name","shared_motifs","TopSharedMotifs"
"47","0.9087","-13.979000000000001","motif_72","Mass2Motif","motif_72","1534.0","1534 (-) 1565","1534.0","false","motif_72","1534 (-) 1565","motif_72,motif_51","motif_72,motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m"
"47","0.9087","-13.979000000000001","motif_51","Mass2Motif","motif_51","1534.0","1534 (-) 1565","1534.0","false","motif_51","1534 (-) 1565","motif_72,motif_51","motif_72,motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m"
"47","0.9707","-15.995","","Cosine","cosine","1534.0","1534 (-) 1567","1534.0","false","cosine","1534 (-) 1567","motif_72,motif_51","motif_72,motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m"
"47","0.9707","-15.995","motif_72","Mass2Motif","motif_72","1534.0","1534 (-) 1567","1534.0","false","motif_72","1534 (-) 1567","motif_72,motif_51","motif_72,motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m"
"47","0.9707","-15.995","motif_51","Mass2Motif","motif_51","1534.0","1534 (-) 1567","1534.0","false","motif_51","1534 (-) 1567","motif_72,motif_51","motif_72,motif_51,rhamn_motif_163.m2m,motif_168,rhamn_motif_108.m2m"
"32","0.9554","-122.10799999999999","","Cosine","cosine","1535.0","1535 (-) 1793","1535.0","false","cosine","1535 (-) 1793","","motif_130,motif_137,motif_166,motif_47,motif_170"
"32","0.9679","-97.977","","Cosine","cosine","1535.0","1535 (-) 1755","1535.0","false","cosine","1535 (-) 1755","","motif_130,motif_137,motif_166,motif_47,motif_170"
"32","0.9504","-64.07600000000001","","Cosine","cosine","1535.0","1535 (-) 1694","1535.0","false","cosine","1535 (-) 1694","","motif_130,motif_137,motif_166,motif_47,motif_170"
"120","0.8555","-378.13699999999994","","Cosine","cosine","1536.0","1536 (-) 1994","1536.0","false","cosine","1536 (-) 1994","motif_37","motif_37"
"120","0.8555","-378.13699999999994","motif_37","Mass2Motif","motif_37","1536.0","1536 (-) 1994","1536.0","false","motif_37","1536 (-) 1994","motif_37","motif_37"
"120","0.7623","-180.12900000000002","","Cosine","cosine","1536.0","1536 (-) 1883","1536.0","false","cosine","1536 (-) 1883","motif_37","motif_37"
"120","0.7623","-180.12900000000002","motif_37","Mass2Motif","motif_37","1536.0","1536 (-) 1883","1536.0","false","motif_37","1536 (-) 1883","motif_37","motif_37"
"120","0.8724","-484.19699999999995","","Cosine","cosine","1536.0","1536 (-) 2092","1536.0","false","cosine","1536 (-) 2092","motif_37","motif_37"
"120","0.8724","-484.19699999999995","motif_37","Mass2Motif","motif_37","1536.0","1536 (-) 2092","1536.0","false","motif_37","1536 (-) 2092","motif_37","motif_37"
